Main Author, de Kleer
Title, Near-infrared monitoring of Io and detection of a violent outburst on 29 August 2013.
Year, 2014
URL, https://www.sciencedirect.com/science/article/pii/S0019103514003170?via%3Dihub
Position, Figure 1
Wavelength, 1250KSun
2.004930526469099, 11134.735785150579
2.0109877303698562, 11016.667865398733
2.0193151828297196, 10889.059522357786
2.028399590328451, 10752.336466783969
2.037483997827182, 10615.613411210154
2.046568306676714, 10481.738949925857
2.055652631967779, 10347.389722926642
2.0647367599604443, 10218.737684506466
2.073820920836176, 10089.136114656452
2.0829048679719757, 9965.706499100399
2.0919887822247087, 9843.226414974184
2.101072712918975, 9720.27156513305
2.1107968883016657, 9596.988699114632
2.1201137436684068, 9470.783772977074
2.1305948200316496, 9339.9471823588
2.1411922948620967, 9209.32983579258
2.1517896851360865, 9081.15414147452
2.1623871035955626, 8952.164563073738
2.1729842824784105, 8830.09299937608
2.1835814472685158, 8708.428377719782
2.1941785556876496, 8588.391524228922
2.2049774947322005, 8466.618595146554
2.2168863471963745, 8339.773612765839
2.2289970285243723, 8211.243422548785
2.2411076112031707, 8085.561826621249
2.2532181322262193, 7961.660602124664
2.2653284929443185, 7842.388343348551
2.2777060856399682, 7717.838085457242
2.2914411703874378, 7593.519644480804
2.3055380177080367, 7465.347600183131
2.321013255063695, 7330.665920683465
2.3355115434516143, 7208.746404869134
2.348584725515104, 7094.50550907341
2.3629646615115214, 6985.134483034172
2.373452830210191, 6889.595427691248
2.3871840265212243, 6785.7581369628515
2.402320937286349, 6666.702679532841
2.4182145663322627, 6545.369135864812
2.4348649728484846, 6420.048349385051
2.451515379364707, 6294.72756290529
2.4681654989014388, 6177.693596176861
2.484815600501953, 6061.177555682892
2.501465594485158, 5947.76907259567
2.5181154808510544, 5837.4681469152
2.5347652416634245, 5730.792704875937
2.5514149307309215, 5626.188967774507
2.5680645301173284, 5524.174861845368
2.5847140756950804, 5423.714534619604
2.601363477783088, 5327.397617269507
2.6180128619348766, 5231.5986261538665
2.6346621384693574, 5138.907192444976
2.6513112715140927, 5050.359168611753
2.6679604224950464, 4961.293218544072
2.684609483794909, 4874.816899648681
2.7012584554136816, 4790.930211925583
2.717907409096236, 4707.5614504369405
2.7345562013528273, 4628.854025058425
2.7512049936094183, 4550.146599679909
2.767853732057355, 4472.9929530047675
2.784502362887983, 4398.946863736375
2.801150993718611, 4324.900774467984
2.817799534868149, 4253.444316371883
2.834448022209032, 4183.5416369791565
2.8510964736774786, 4114.674810055347
2.867744835464835, 4048.397614303831
2.8843932151884095, 3981.602492317854
2.9010414514222385, 3918.950780207544
2.9176897773371584, 3853.7094369249426
2.9343379059536794, 3794.165282221382
2.9509860345702004, 3734.621127517821
2.967634163186721, 3675.0769728142604
2.984282220058369, 3617.6045230485342
3.000930258993799, 3560.6499995172653
3.017578226184357, 3505.767180923829
3.03422613956626, 3452.4381410337683
3.0508740708843813, 3398.5911749092484
3.0675218945851936, 3347.8517661914793
3.084169754158443, 3296.076505004792
3.1008175778592557, 3245.337096287023
3.1174653118789775, 3197.187318741546
3.1341130279624814, 3149.555467430524
3.1507607619822036, 3101.4056898850467
3.167408388384617, 3056.3634697463185
3.1840560147870303, 3011.3212496075885
3.2007036411894436, 2966.279029468862
3.21735114203833, 2924.86229297134
3.233998750504525, 2880.337999067069
3.250646305162066, 2837.3674838661736
3.2672937163298617, 2798.5403785409453
3.28394119924253, 2757.6415682778825
3.3005886462827623, 2717.778610483736
3.317236057450558, 2678.9515051585076
3.333883396873482, 2642.19610477111
3.350530790105059, 2603.886925680339
3.3671781295279826, 2567.1315252929417
3.3838253972060333, 2532.4478298433805
3.400472718692739, 2496.2103556904403
3.4171200222432256, 2460.490807771961
3.4337672361126224, 2427.3608910257735
3.450414432045801, 2394.7489005140433
3.4670616817876336, 2360.5831312989376
3.483708877720812, 2327.9711407872073
3.500355948100464, 2298.984633916685
3.517003144033642, 2266.372643404955
3.533650268221948, 2235.8323578310556
3.5502973924102537, 2205.29207225716
3.5669444627899054, 2176.3055653866377
3.5835915331695567, 2147.3190585161155
3.6002385676767723, 2119.3684041145098
3.6168856201202058, 2090.8998234784467
3.633532600818767, 2064.5029477802145
3.6501797070708544, 2034.480588440776
3.6668267595142883, 2006.0120078047112
3.6834737222766307, 1980.13305834094
3.700120685038973, 1954.2541088771668
3.7167676657375344, 1927.8572331789364
3.73341470024475, 1899.9065787773288
3.7500616450708746, 1874.5455555480166
3.766708589896999, 1849.1845323187008
3.7833554809144694, 1825.3772877927622
3.800002425740594, 1800.0162645634464
3.8166492988218463, 1776.7269462719669
3.8332961719030987, 1753.4376279804856
3.8499429911756966, 1731.7020883923778
3.8665899180656034, 1706.858991397523
3.8832367373382013, 1685.123451809417
3.8998835386745805, 1663.9058384557684
3.9165303579471784, 1642.1702988676607
3.9331771592835585, 1620.952685514012
3.9498239964923743, 1598.699219691449
3.9664707440201, 1579.0353850411757
3.9831174915478256, 1559.3715503909025
3.999764274947987, 1538.671863271713
4.016410986603276, 1520.043881090356
4.033057781960916, 1498.998909814858
4.049704481658726, 1480.7162117898079
4.066351175377798, 1462.60615584291
4.082997869096869, 1444.4960998960105
4.099644688369467, 1422.7605603079046
4.116291364152319, 1405.168430595466
4.1329379681903005, 1389.648005820858
4.149584626036935, 1372.5738023428767
4.166231301819788, 1354.9816726304362
4.182877995538859, 1336.8716166835366
4.199524599576839, 1321.3511919089306
4.216171203614819, 1305.8307671343227
4.232817915270108, 1287.2027849529659
4.249464465499435, 1273.2361388817335
4.266111033664979, 1258.751566576042
